timestamp,open,high,low,close,volume
2025-06-23 12:00:00,0.1946,0.1981,0.1936,0.1981,10770112.1
2025-06-23 13:00:00,0.1981,0.2031,0.195,0.2024,16866871.8
2025-06-23 14:00:00,0.2024,0.2056,0.2018,0.2027,19284490.0
2025-06-23 15:00:00,0.2027,0.2069,0.2017,0.2064,16535343.8
2025-06-23 16:00:00,0.2064,0.207,0.1967,0.1995,25626838.1
2025-06-23 17:00:00,0.1994,0.2145,0.1992,0.2133,38071503.3
2025-06-23 18:00:00,0.2133,0.215,0.2122,0.2132,15110051.1
2025-06-23 19:00:00,0.2132,0.2252,0.2132,0.225,25311891.7
2025-06-23 20:00:00,0.225,0.2291,0.2219,0.2268,29286042.0
2025-06-23 21:00:00,0.2269,0.2335,0.2258,0.2325,19933547.6
2025-06-23 22:00:00,0.2325,0.2385,0.2322,0.2366,27404004.7
2025-06-23 23:00:00,0.2367,0.2465,0.2365,0.2438,32204479.2
2025-06-24 00:00:00,0.2438,0.2549,0.2428,0.2545,48470526.2
2025-06-24 01:00:00,0.2545,0.2685,0.2544,0.2651,49604398.0
2025-06-24 02:00:00,0.265,0.2727,0.2647,0.2687,38491591.6
2025-06-24 03:00:00,0.2688,0.2742,0.2616,0.2623,34263825.9
2025-06-24 04:00:00,0.2623,0.27,0.2614,0.2696,22311609.7
2025-06-24 05:00:00,0.2696,0.2837,0.2673,0.2806,34841993.4
2025-06-24 06:00:00,0.2807,0.286,0.2773,0.2843,23080028.7
2025-06-24 07:00:00,0.2843,0.2888,0.2752,0.2796,41433454.3
2025-06-24 08:00:00,0.2796,0.2878,0.2768,0.285,37935154.0
2025-06-24 09:00:00,0.285,0.2864,0.2749,0.2763,30869398.6
2025-06-24 10:00:00,0.2763,0.281,0.2737,0.2754,17487981.5
2025-06-24 11:00:00,0.2754,0.2843,0.2742,0.284,28970894.6
2025-06-24 12:00:00,0.2841,0.2901,0.2793,0.2824,39591801.3
2025-06-24 13:00:00,0.2825,0.2844,0.2758,0.2768,24666062.6
2025-06-24 14:00:00,0.2768,0.2795,0.269,0.2711,33141346.2
2025-06-24 15:00:00,0.2712,0.279,0.2712,0.277,17961578.2
2025-06-24 16:00:00,0.2771,0.2827,0.274,0.2825,18015254.6
2025-06-24 17:00:00,0.2825,0.2826,0.277,0.2797,13980925.6
2025-06-24 18:00:00,0.2798,0.2821,0.2777,0.278,10337968.1
2025-06-24 19:00:00,0.278,0.2792,0.2755,0.278,9243635.4
2025-06-24 20:00:00,0.278,0.2819,0.2773,0.2802,8527168.9
2025-06-24 21:00:00,0.2801,0.2846,0.2779,0.2828,9963288.8
2025-06-24 22:00:00,0.2828,0.3012,0.2812,0.2979,50345627.5
2025-06-24 23:00:00,0.2979,0.313,0.2975,0.3068,54413727.0
2025-06-25 00:00:00,0.3067,0.3092,0.2932,0.2989,46979696.2
2025-06-25 01:00:00,0.2988,0.327,0.2981,0.3266,72843866.8
2025-06-25 02:00:00,0.3266,0.3359,0.3231,0.3281,56112533.1
2025-06-25 03:00:00,0.3281,0.3294,0.3161,0.321,41002268.1
2025-06-25 04:00:00,0.321,0.3212,0.3011,0.3086,48846905.4
2025-06-25 05:00:00,0.3086,0.3122,0.3027,0.3033,24670290.7
2025-06-25 06:00:00,0.3034,0.3073,0.2973,0.3034,25761253.3
2025-06-25 07:00:00,0.3033,0.309,0.301,0.3046,20116861.3
2025-06-25 08:00:00,0.3045,0.3055,0.2973,0.3043,24779126.3
2025-06-25 09:00:00,0.3044,0.3057,0.2985,0.3006,19961811.5
2025-06-25 10:00:00,0.3007,0.306,0.2985,0.302,16257915.1
2025-06-25 11:00:00,0.3021,0.3119,0.3002,0.3068,28839511.8
2025-06-25 12:00:00,0.3068,0.3082,0.2986,0.3013,22704110.2
2025-06-25 13:00:00,0.3013,0.3064,0.299,0.2992,19299902.8
2025-06-25 14:00:00,0.2992,0.301,0.265,0.2915,59153405.0
2025-06-25 15:00:00,0.2915,0.2932,0.2843,0.2873,24747238.9
2025-06-25 16:00:00,0.2874,0.2928,0.2821,0.2824,24045595.2
2025-06-25 17:00:00,0.2825,0.2931,0.2825,0.2912,17776319.2
2025-06-25 18:00:00,0.2911,0.2912,0.2863,0.2885,9255185.9
2025-06-25 19:00:00,0.2885,0.2893,0.2854,0.2869,8656937.7
2025-06-25 20:00:00,0.2869,0.2873,0.2812,0.2832,12764505.2
2025-06-25 21:00:00,0.2832,0.2848,0.2761,0.2769,15346008.9
2025-06-25 22:00:00,0.277,0.2788,0.2736,0.2764,12722098.3
2025-06-25 23:00:00,0.2765,0.2827,0.2754,0.2798,15573756.4
2025-06-26 00:00:00,0.2799,0.2844,0.2748,0.2751,24504135.2
2025-06-26 01:00:00,0.275,0.2785,0.26,0.2751,32956343.4
2025-06-26 02:00:00,0.2752,0.2845,0.2752,0.2829,25906928.8
2025-06-26 03:00:00,0.2829,0.2838,0.2753,0.2761,14016093.7
2025-06-26 04:00:00,0.276,0.2774,0.2737,0.2763,11547463.5
2025-06-26 05:00:00,0.2762,0.2762,0.2742,0.2747,8338454.5
2025-06-26 06:00:00,0.2747,0.2826,0.2747,0.2791,16266563.0
2025-06-26 07:00:00,0.279,0.2814,0.278,0.2792,9102977.9
2025-06-26 08:00:00,0.2791,0.2799,0.2753,0.2758,9037279.1
2025-06-26 09:00:00,0.2758,0.2766,0.2721,0.2723,11103858.8
2025-06-26 10:00:00,0.2724,0.2761,0.2716,0.2743,8217129.1
